sub,alpha_ind,lambda_ind,sigma_ind_pre
sub02,0.1048861597625,0.09247124413749999,0.096003039475
sub03,0.08300179188750001,0.0784123325375,0.049033325112500005
sub04,0.046107819225,0.2464766675,0.0529469600875
sub05,0.01053002424,0.22178578775,0.040040145799999996
sub06,0.123358069575,0.39239283325,0.1214265149
sub07,0.0451821369875,0.54185277575,0.084354042475
sub08,0.0272512444025,0.308702434375,0.056192594624999995
sub09,0.02412065455125,0.136645011275,0.043127952812499995
sub10,2.91213072125,0.34495065075000003,0.1306912975375
sub100,0.0730105155375,0.368867840125,0.0739748640125
sub1000,0.0537139961625,0.11149728362625,0.0633064571375
sub1001,0.03014742162,0.29011587925,0.058378500075
sub1002,0.059090885350000004,0.262037112125,0.0614487625375
sub1003,0.176201482725,0.313378168625,0.13391618463750002
sub1005,0.0480865198375,0.62794863375,0.073071905375
sub1006,0.0534045847625,0.402534263875,0.0895816357875
sub1007,0.060950487037499994,0.16998634995,0.08184549805
sub1010,0.1631879428625,0.21843574737500002,0.258037469625
sub1011,0.039499568160000005,0.209277433125,0.058345525975
sub1012,0.07265242747499999,0.5092133306250001,0.0795184970875
sub1013,0.0291115406375,0.277974175625,0.0485639469375
sub1015,0.061560961675000005,0.0911370760375,0.051783256712499996
sub1016,0.02735166539875,0.17506807621249998,0.050624241225
sub1019,0.08358878265,0.03908214896375,0.0868731523875
sub102,0.015641445559999998,0.26686164100000004,0.0432464771
sub1020,0.033443560125,0.809813110125,0.0926744793875
sub1021,0.01837601645375,0.252371109,0.0502070198375
sub1022,0.0785504725625,0.208561604875,0.069516643525
sub1023,0.161768683975,0.0195378628525,0.0762191254125
sub1024,0.018076285887499998,0.502506051875,0.0597182595875
sub1025,0.08378037815,0.532762605625,0.060963649325
sub1026,0.203311903825,1.36828080125,0.08889972528750001
sub1027,0.33578117300000004,0.162249509875,0.0983079798375
sub1028,0.047430050325,0.543083498,0.0531545039875
sub1029,0.08027485052500001,0.272138806,0.1300467874
sub103,0.2968783975,0.16800523625,0.12619014095
sub1033,0.07572447415000001,0.37564064350000004,0.0829157668125
sub1034,0.0233786365025,0.19148810900000002,0.041487428725000004
sub1035,0.0963740611625,0.46405685399999996,0.185384843625
sub1037,0.01889621764125,0.23815283175,0.044783336187499995
sub1038,1.6980464225,0.21401957275,0.194377208375
sub1039,0.0603018514125,0.10571712295,0.06479060188750001
sub104,0.005352156467625,0.1480020420875,0.051844244750000004
sub1040,0.039973589474999995,0.1096482035625,0.047263252225
sub1043,0.027162472903750002,0.594314884625,0.07590874981250001
sub1044,0.0861517175375,0.31020159775,0.058660374125
sub1045,0.0253705556425,0.18010867074999998,0.043227675975
sub1047,0.02351190668375,0.269982272375,0.04512238345
sub1049,0.13964827055,0.1749489355,0.13916371792499999
sub105,0.02797980865625,0.010695881377887502,0.0452734038875
sub1051,0.03082818418625,0.48103046575,0.0596373957
sub1052,1.2345611316249998,0.110319110625,0.214869453
sub1053,0.0649828529375,0.0747962417125,0.0591796826875
sub1055,0.1743861785,0.048993809136250004,0.081992435675
sub1057,0.1625956011875,0.03391923453950001,0.074106511575
sub1058,0.03199086527,0.80857880975,0.094214462175
sub106,0.0151936680375,0.26428508875,0.036977711275
sub1060,0.08666505784999999,0.45815658937500003,0.1018209944125
sub1061,0.440711987125,0.9443527725,0.096721073675
sub1064,0.129630463825,0.225469811375,0.1038276672625
sub1065,0.1468913888,0.164484311875,0.074895218075
sub1067,0.031486089175,1.236772441625,0.061015400175000005
sub1068,0.03173128749875,0.6729378245000001,0.0796907509625
sub1069,0.1199001791,0.0136279328685375,0.0786545529125
sub107,0.15045285322500002,0.08616660727,0.104082443325
sub1072,0.0428412351875,0.315459659375,0.0886292369125
sub1074,0.067830879375,0.1704612208625,0.0724357697
sub1075,0.07013346725,0.6456032305,0.127683883375
sub1076,0.5001412416250001,0.10708954525,0.1332764458625
sub1077,0.019317116445,0.328979230875,0.051108003912500005
sub1078,2.43448220125,0.0662884077625,0.25588545962500003
sub108,0.271495157625,0.1083744265625,0.1023021006
sub1081,0.019283334782499998,0.1513740077125,0.038736927175
sub1082,0.06624531127500001,0.12169888718750001,0.057213382725000005
sub1083,0.020244583285,0.208404304625,0.055438122900000004
sub1085,0.07587555881250001,0.1768060126375,0.09212989117499999
sub1086,0.7673095907499999,0.043889725812499995,0.16568476225
sub1087,0.006142463725125,0.1524885920375,0.032779883175
sub1088,0.655833485,0.5073353755,0.1171745750125
sub1089,0.11789561782500001,0.1293382960625,0.142649126175
sub109,0.05634365155,0.20112844637500002,0.06801432477500001
sub1090,0.01478992871125,0.198888917125,0.0419753891125
sub1091,0.02178122689125,0.40466660712499997,0.056589748200000005
sub1092,0.0925321122375,0.423968352125,0.06921241415
sub1093,0.029953562434999997,0.09647314193124999,0.042907794725000004
sub1095,0.0687452041125,0.543175325125,0.1461979055125
sub1099,0.045534403425,0.1914032535,0.08029045242499999
sub11,0.011435457541250001,0.332847545625,0.0419426094125
sub110,0.03733453049875,0.1182980131,0.044821902649999995
sub1101,0.0498136557625,0.1552463173125,0.05593095565
sub1102,0.1654200175,0.017692542250837502,0.0803258762875
sub1106,0.30156369366249997,0.023171073392375,0.11162008365
sub1107,1.5869067726250001,0.401791157875,0.13288643622500002
sub1109,0.577470601125,0.019934561715125,0.1219884485875
sub111,0.140467286725,0.16822150363750002,0.1049126085
sub1111,0.046100941714999996,0.014479432853225,0.036747649775
sub1112,0.02974211922375,0.500130848,0.073998169925
sub1113,0.040512120832500005,0.1575330585125,0.0544657875625
sub1114,0.06900655648750001,0.5342571417499999,0.09268018981250001
sub1115,0.023663635034999998,0.22835733762500002,0.049071287925
sub1116,0.05404415354625,0.0817575693125,0.0672883553
sub1117,0.002311213580665,0.548022339,0.13697122795000002
sub1119,0.4470438735,0.0625538047,0.1102991776625
sub112,0.06893476386250001,0.125208778525,0.0717192306125
sub1122,0.0381935488775,0.1448952015625,0.06611101275
sub1124,0.13163619911250002,0.26438043075,0.11981703292500001
sub1126,0.01828096223875,0.28751797075,0.0541682033875
sub1127,0.052087854375,0.66818863475,0.0860152731875
sub1128,0.051583147025000005,0.33604761987500004,0.0734167204375
sub1129,0.025126095846249998,0.341381787,0.07515599005
sub113,0.077572976725,0.1504441845625,0.0806106233375
sub1130,0.15805072856250002,0.08472189321250001,0.07621800031249999
sub1131,0.23572356049999998,0.180931344875,0.1040016868125
sub1132,0.09524900591249999,0.437812853625,0.1101778349375
sub1134,0.036446848637499994,0.7645011767500001,0.089539905175
sub1135,0.061213368000000004,0.21658824075000002,0.0570187887125
sub1136,0.20547251845,0.04063092853,0.1036383367
sub1138,0.045719865224999996,1.31095620675,0.059310109287499996
sub114,0.26014475475,0.1079240037125,0.151350420925
sub1140,0.008236482939125,0.1577439473,0.053349698925
sub1141,0.117256268225,0.22732065037500002,0.11954393365
sub1142,0.005680195635875,0.19591346078750002,0.05764729835
sub1147,0.1798930917125,0.14361840680000001,0.1410982468875
sub1149,0.019591549274999998,0.1161657461875,0.038866356025
sub115,0.1805692863125,0.31893114087499996,0.0992964982875
sub1150,0.126901675575,0.124740713825,0.0651376877375
sub1151,0.0367925958675,0.2025807885,0.0564934259875
sub1152,0.1699364655625,0.3298000775,0.14577056595
sub1153,0.02864828297375,0.193868432125,0.0511219671125
sub1154,0.02548739505625,0.5522550636250001,0.0660899669125
sub1155,0.031065557807499998,0.15913853618749998,0.0723611979875
